LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
QE 511.4 .K56 1994,5738,"Kious, W. Jacquelyne","Kious, W. Jacquelyne;Tilling, Robert I",5738,Monograph,Learning Commons,Gen-nonc,,Geological Survey (U.S.),,,"77 p. : ill. (some col.), maps (some col.) ; 22 x 28 cm.",,text,Learning Commons,160482208,9.78E+12,160482208,QE 511.4 .K56 1994,96131652,"Washington, D.C.",[between 1994 and 1996],1994,U.S. Geological Survey :;For sale by the U.S. G.P.O.,,Available,Plate tectonics,This dynamic earth : the story of plate tectonics,Story of plate tectonics
Q 182.3 .T478 1988,2147,Thomas Alva Edison Foundation,,2147,Monograph,Learning Commons,Activity,,Thomas Alva Edison Foundation,,,"xiii, 146 p. : ill., ports. ; 28 cm.",,text,Learning Commons,471620890,9.78E+12,471620890,Q 182.3 .T478 1988,88020669,New York,c1988,1988,Wiley,,Available,Science - Experiments - Juvenile literature;Engineering - Experiments - Juvenile literature;Science - Experiments;Engineering - Experiments;Experiments,The Thomas Edison book of easy and incredible experiments,
Q 182.3 .T478 1988,4106,Thomas Alva Edison Foundation,,2364,Monograph,Learning Commons,Act-nonc,,Thomas Alva Edison Foundation,,,"xiii, 146 p. : ill., ports. ; 28 cm.",,text,,471620890,9.78E+12,471620890,Q 182.3 .T478 1988,88020669,New York,c1988,1988,Wiley,,Available,Science - Experiments - Juvenile literature;Engineering - Experiments - Juvenile literature;Science - Experiments;Engineering - Experiments;Experiments,The Thomas Edison book of easy and incredible experiments,
P 37 .V94 1986,1743,"Vygotskii, L. S","Vygotskii, L. S;Kozulin, Alex",1137,Monograph,Learning Commons,General,,,,,"lxi, 287 p. : port. ; 21 cm.",Translation newly rev. and edited /,text,,262220296,9.78E+12,262220296,P 37 .V94 1986,85024040,"Cambridge, Mass.",c1986,1986,MIT Press,,Lost,Psycholinguistics;Language acquisition;Child psychology;Linguistics;Thought and thinking,Thought and language,Myshlenie i rechʹ. English
QB 501.5 .O88 1989,1434,"Ottewell, Guy","Ottewell, Guy",4860,Monograph,Learning Commons,Act-nonc,,,,,15 p. : ill. ; 25 cm.,,text,,0934546215 (pbk.),9.78E+12,934546215,,,"Greenville, S.C.",c1989,1989,"Astronomical Workshop, Furman University",,Available,Solar system - Study and teaching,"The thousand-yard model, or The earth as a peppercorn",Earth as a peppercorn
QB 501.5 .O88 1989,4858,"Ottewell, Guy","Ottewell, Guy",4858,Monograph,Learning Commons,Activity,,,,,15 p. : ill. ; 25 cm.,,text,Learning Commons,0934546215 (pbk.),9.78E+12,934546215,,,"Greenville, S.C.",c1989,1989,"Astronomical Workshop, Furman University",,Available,Solar system - Study and teaching,"The thousand-yard model, or The earth as a peppercorn",Earth as a peppercorn
GA 130 .E85 1994,2391,"Erickson, Sheldon","Erickson, Sheldon",2391,Monograph,Learning Commons,Act-nonc,,,,,"xiii, 140 leaves : ill., maps ; 28 cm.",,text,Learning Commons,1881431487,9.78E+12,1881431487,GA 130 .E85 1994,,"Fresno, CA",1994,1994,AIMS Education Foundation,AIMS activities ;; grades 5-9,Non-Circulating,"Cartography - Experiments - Juvenile literature;Mathematics - Study and teaching (Elementary);Mathematics - Problems, exercises, etc;Interdisciplinary approach in education;Maps - Experiments - Juvenile literature;Navigation;Navigation - Experiments;Cartography - Experiments;Mathematics - Experiments",Through the eyes of the explorers : minds-on math and mapping,
GA 130 .E85 1994,4077,"Erickson, Sheldon","Erickson, Sheldon",2762,Monograph,Learning Commons,Activity,,,,,"xiii, 140 leaves : ill., maps ; 28 cm.",,text,,1881431487,9.78E+12,1881431487,GA 130 .E85 1994,,"Fresno, CA",1994,1994,AIMS Education Foundation,AIMS activities ;; grades 5-9,Available,"Cartography - Experiments - Juvenile literature;Mathematics - Study and teaching (Elementary);Mathematics - Problems, exercises, etc;Interdisciplinary approach in education;Maps - Experiments - Juvenile literature;Navigation;Navigation - Experiments;Cartography - Experiments;Mathematics - Experiments",Through the eyes of the explorers : minds-on math and mapping,
QL 462.4 .R46 1990,1088,"Rendón Ortíz, Gilberto","Rendón Ortíz, Gilberto;Helguera;Gómez, Patricio",4657,Monograph,Learning Commons,General,,,,,[25] p. ; col. ill. ; 29 cm.,1a ed.,text,,968646512X (rústica),9.79E+12,968646512X,,,"México, D.F.",1990,1990,Consejo Nacional para la Cultura y las Artes,,Available,Names - Fiction;Contentment - Fiction;Insects - Nomenclature,Tianguis de nombres,
TR 897.5 .D95 2002,18688,"Dyer, Eric","Dyer, Eric",18688,DVD,Learning Commons,General,,,,,"1 videodisc (3 min.) : sd., col. ; 4 3/4 in.",,DVD/videorecording,Learning Commons,,,,TR 897.5 .D95 2002,,"Baltimore, MD.",c20002,2000,Eric Dyer,,Available,Experimental films;Animated films;Visual perception,Kinetic Sandwich,B-ball etude;Chopin's bicycle.
NB 237 .G65 F85 2000,7826,"Goldsworthy, Andy","Goldsworthy, Andy;Friedman, Terry",13031,Monograph,Learning Commons,General,,,,,202 p. : col. ill. ; 26 x 30 cm.,,text,,810944820,9.78E+12,810944820,,,New York,2000,2000,Harry N. Abrams,,Available,"Goldsworthy, Andy, 1956- - Exhibitions;Sculpture, Modern - 20th century - Great Britain;Nature (Aesthetics);Land art (installation)",Time,
QC 24.5 .R5 1984,1995,"Ridley, B. K","Ridley, B. K",3895,Monograph,Learning Commons,General,,,,,"viii, 182 p. : ill. ; 23 cm.",2nd ed.,text,,521262933,9.78E+12,521262933,QC 24.5 .R5 1984,83020979,Cambridge [Cambridgeshire] ; New York,1984,1984,Cambridge University Press,,Available,Physics,"Time, space, and things",
QE 508 .G68 1987,1640,"Gould, Stephen Jay","Gould, Stephen Jay",11748,Monograph,Learning Commons,General,,,,,"xiii, 222 p. : ill. ; 24 cm.",,text,,0674891988 (alk. paper) (cloth),9.78E+12,674891988,QE 508 .G68 1987,86029485,"Cambridge, Mass.",1987,1987,Harvard University Press,,Available,"Burnet, Thomas, 1635?-1715. Telluris theoria sacra;Hutton, James, 1726-1797;Lyell, Charles, Sir, 1797-1875;Geological time","Time's arrow, time's cycle : myth and metaphor in the discovery of geological time",
QC 173.59 .T5 T56 2003b,8707,"Niffenegger, Audrey","Niffenegger, Audrey",18237,Monograph,Learning Commons,General,,,,,"x, 546 p. ; 21 cm.",1st Harvest ed.,text,,015602943X (pbk.),9.78E+12,015602943X,QC 173.59 .T5 T56 2003b,2004003577,Orlando,c2003,2003,Harcourt,,Available,Librarians - Fiction;Time travel - Fiction;Married people;Women art students - Fiction,The time traveler's wife,
NA 2500 .A45 1979,2314,"Alexander, Christopher","Alexander, Christopher",267,Monograph,Learning Commons,General,,,,,"xv, 552 p. : ill. ; 21 cm.",,text,TI Classroom,195022483,9.78E+12,195022483,NA 2500 .A45 1979,76042650,New York,1979,1979,Oxford University Press,,Lost,Architecture;Pattern perception,The timeless way of building,
QH 527 .W56 1987,3680,"Winfree, Arthur T","Winfree, Arthur T",12246,Monograph,Learning Commons,General,,,,,"xi, 199 p. : ill. (some col.) ; 25 cm.",,text,,071675018X,9.78E+12,071675018X,QH 527 .W56 1987,86015602,New York,c1987,1987,Scientific American Library :;Distributed by W.H. Freeman,Scientific American Library series; no. 19,Available,Circadian rhythms;Biological rhythms,The timing of biological clocks,
HM 1033 .G53 2002,8495,"Gladwell, Malcolm","Gladwell, Malcolm",17287,Monograph,Learning Commons,General,,,,,"xii, 301 p. : ill. ; 21 cm.",1st Back Bay pbk. ed.,text,,0316346624 (pbk.),9.78E+12,316346624,HM1033 .G53 2002,2004273849,Boston,2002,2002,Back Bay Books,,Lost,Social psychology;Contagion (Social psychology);Causation;Context effects (Psychology),The tipping point : how little things can make a big difference,
Q 181 .H33 2002,8561,"Hartman, Hope J","Hartman, Hope J;Glasgow, Neal A",17446,Monograph,TI Classroom,General,,,,,"xi, 233 p. : ill. ; 26 cm.",,text,TI Classroom,0761975888 (cloth : alk. paper),9.78E+12,761975888,Q 181 .H33 2002,2001002190,"Thousand Oaks, CA",c2002,2002,Corwin Press,,Lost,Science - Study and teaching;Science teachers - Training of,Tips for the science teacher : research-based strategies to help students learn,
LB 1585 .B28 1991,2707,"Barber, Jacqueline","Barber, Jacqueline;Bergman, Lincoln;Sneider, Cary",2707,Monograph,Learning Commons,Act-nonc,,,,,63 [8] p. : ill. ; 28 cm.,,text,Learning Commons,,,,,,"Berkeley, CA",c1991,1991,"Lawrence Hall of Science, University of California",,Non-Circulating,Mathematics - Study and teaching (Elementary);Science - Study and teaching (Elementary),"To build a house: GEMS and the ""thematic approach"" to teaching science...",GEMS and the thematic approach to teaching science.
LB 1585 .B28 1991,2706,"Barber, Jacqueline","Barber, Jacqueline;Bergman, Lincoln;Sneider, Cary",2706,Monograph,Learning Commons,Activity,,,,,63 [8] p. : ill. ; 28 cm.,,text,Learning Commons,,,,,,"Berkeley, CA",c1991,1991,"Lawrence Hall of Science, University of California",,Available,Mathematics - Study and teaching (Elementary);Science - Study and teaching (Elementary),"To build a house: GEMS and the ""thematic approach"" to teaching science...",GEMS and the thematic approach to teaching science.
TA 174 .P474 1992,7122,"Petroski, Henry","Petroski, Henry",10658,Monograph,Learning Commons,General,,,,,"ix, 251 p. : ill. ; 21 cm.",1st Vintage Books ed.,text,,0679734163 (pbk.) :,9.78E+12,679734163,TA 174 .P474 1992,91050703,New York,1992,1992,Vintage Books,,Available,Engineering design;System failures (Engineering),To engineer is human : the role of failure in successful design,
TA 174 .P474 1992,10659,"Petroski, Henry","Petroski, Henry",10659,Monograph,Learning Commons,Gen-nonc,,,,,"ix, 251 p. : ill. ; 21 cm.",1st Vintage Books ed.,text,Learning Commons,0679734163 (pbk.) :,9.78E+12,679734163,TA 174 .P474 1992,91050703,New York,1992,1992,Vintage Books,,Available,Engineering design;System failures (Engineering),To engineer is human : the role of failure in successful design,
LA 217 .G37 1989,3134,"Gardner, Howard","Gardner, Howard",37,Monograph,Learning Commons,General,,,,,"x, 326 p. : ill. ; 25 cm.",,text,,0465086306 (cloth) :,9.78E+12,465086306,LA 217 .G37 1989,89042523,New York,c1989,1989,Basic Books,,Available,Education - United States;Education - China - History - 1976-;Creative thinking;Comparative education;Mentor Program,To open minds,
SB 323 .W81 2005,8857,"Walsh, Patricia","Walsh, Patricia",19241,Monograph,Learning Commons,General,,,,,16 p. : col. ill. ; 23 cm.,,text,,032813984X,9.78E+12,032813984X,631 W168T,,"Glenview, Ill.",2005,2005,Pearson,,Available,Crops - Juvenile literature;Plants - Juvenile literature;Simple vocabulary for English Language Learners,Top crops,
QA 901 .C525 1993,613,"Chevray, Rene","Chevray, Rene;Mathieu, Jean",2174,Monograph,Learning Commons,General,,,,,"xv, 320 p. : ill. ; 24 cm.",,text,,0521410827 (hardback),9.78E+12,521410827,QA 901 .C525 1993,92010886,"Cambridge, CB ; New York, NY, USA",1993,1993,Cambridge University Press,,Available,Fluid mechanics,Topics in fluid mechanics,
GA 151 .B76 1970,2635,"Brown, F. Martin","Brown, F. Martin;Thompson, Ray W",1431,Monograph,Learning Commons,Activity,,,,,66 p. illus. 29 cm.,,text,,,,,GA151 .B76,74150886,"Morristown, N.J.,",[1970],1970,Silver Burdett Co.,,Available,Topographic maps;Earth sciences;Geology,Topographic maps for earth science,
TT 174 .Z83 1989,1391,"Zubrowski, Bernie","Zubrowski, Bernie;Doty, Roy",116,Monograph,Learning Commons,Act-nonc,,,,,96 p. : ill. ; 24 cm.,Morrow Eagle library ed.,text,TI Classroom,0688075614 (pbk.),9.78E+12,688075614,TT 174 .Z83 1989,88030463,New York,c1989,1989,Morrow Junior Books,,Non-Circulating,Toy making - Juvenile literature;Tops - Juvenile literature;Yo-yos - Juvenile literature;Toys - Experiments,Tops : building and experimenting with spinning toys,
TT 174 .Z83 1989,20700,"Zubrowski, Bernie","Zubrowski, Bernie;Doty, Roy",20700,Monograph,Learning Commons,Activity,,,,,96 p. : ill. ; 24 cm.,Morrow Eagle library ed.,text,Learning Commons,0688075614 (pbk.),9.78E+12,688075614,TT 174 .Z83 1989,88030463,New York,c1989,1989,Morrow Junior Books,,Available,Toy making - Juvenile literature;Tops - Juvenile literature;Yo-yos - Juvenile literature;Toys - Experiments,Tops : building and experimenting with spinning toys,
QC 133.5 .Z83 1994,321,"Zubrowski, Bernie","Zubrowski, Bernie",2425,Monograph,Learning Commons,Act-nonc,,,,,80 p. : ill. ; 28 cm.,,text,TI Classroom,938587374,9.78E+12,938587374,QC 133.5 .Z83 1994,95132213,"White Plains, N.Y.",c1994,1994,Cuisenaire Company of America,"Models in physical science; ;Zubrowski, Bernie. Models in physical science; ",Non-Circulating,Rotational motion (Rigid dynamics) - Study and teaching;Yo-yos - Experiments - Juvenile literature;Toy making - Juvenile literature;Toys - Experiments;Tops - Experiments - Juvenile literature,Tops and yo-yos,
QC 133.5 .Z83 1994,2787,"Zubrowski, Bernie","Zubrowski, Bernie",2787,Monograph,Learning Commons,Activity,,,,,80 p. : ill. ; 28 cm.,,text,Learning Commons,938587374,9.78E+12,938587374,QC 133.5 .Z83 1994,95132213,"White Plains, N.Y.",c1994,1994,Cuisenaire Company of America,"Models in physical science; ;Zubrowski, Bernie. Models in physical science; ",Available,Rotational motion (Rigid dynamics) - Study and teaching;Yo-yos - Experiments - Juvenile literature;Toy making - Juvenile literature;Toys - Experiments;Tops - Experiments - Juvenile literature,Tops and yo-yos,
QC 133.5 .S355 1995,4190,"Nixon, Bebe","Nixon, Bebe",1534,Video,Learning Commons,Activity,,WGBH Instructional Programming Group;WGBH Videos (Firm),,,"1 videocassette (35 min.) : sd., col. ; 1/2 in. + 1 guide.",,VHS,,,,,,,"South Burlington, Vt.",c1995,1995,WGBH Videos,Science first-hand; ,Available,Science - Study and teaching;Active learning;Rotational motion (Rigid dynamics) - Study and teaching;Video recordings for the hearing impaired;Science - Experiments;Tops;Yo-yos,Tops and yo-yos,
QB 541 .M67 2003,8963,"Keppler, Kurt","Keppler, Kurt;Morgan, Caitlin",19915,DVD,Learning Commons,General,,"University of California, Berkeley;Exploratorium (San Francisco, Calif.);United States. National Aeronautics and Space Administration",,,"1 videodisc (29 min.) : sd., col. ; 4 3/4 in.",,DVD/videorecording,,,,,QB 541 .M67 2003,,"[Berkley, Calif.",c2003],2003,Exploratorium,,Available,Corona (sun) - Study and teaching;Solar eclipses - Study and teaching;Sun - Observations,Total eclipse solar eclipses and the mysteries of the corona,Solar eclipses and the mysteries of the corona
QA 303 .B488 1997,7096,"Berlinski, David","Berlinski, David",10631,Monograph,Learning Commons,General,,,,,"xvii, 331 p. : ill. ; 21 cm.",1st Vintage pbk. ed.,text,,679747885,9.78E+12,679747885,QA 303 .B488 1997,,New York,"1997, c1995",1997,Vintage Books,,Available,Calculus - Popular works;Mathematics - Popular works,A tour of the calculus,
RA 1213 .T76 1991,935,"Harte, John","Harte, John",1271,Monograph,Learning Commons,General,,,,,"xviii, 479 p. : ill. ; 26 cm.",,text,,0520072235 (alk. paper),9.78E+12,520072235,RA 1213 .T76 1991,90025860,Berkeley,c1991,1991,University of California Press,,Available,Toxicology;Consumer education;Environmental health;Environmental pollutants - adverse effects,Toxics A to Z : a guide to everyday pollution hazards,
TT 174 .C3 1972,2579,"Caney, Steven","Caney, Steven",1080,Monograph,Learning Commons,Activity,,,,,175 p. illus.,,text,,911104151,9.78E+12,911104151,,,"New York,",[1972],1972,Workman Pub. Co.,,Available,"Toys;Education, Preschool - Experiments",Toy book.,Steven Caney's toy book
TL 860 .T69 S86 1997,5531,"Sumners, Carolyn","Sumners, Carolyn",6972,Monograph,Learning Commons,Act-nonc,,,,,1 v. (varous pagings) : ill. ; 28 cm.,,text,Learning Commons,0070694893 (pbk.),9.78E+12,70694893,TL 860 .T69 S86 1997,97012351,New York,c1997,1997,McGraw-Hill,Teaching science with toys; ,Available,Toys - Experiments;Weightlessness - Experiments;Space shuttles - Experiments;Toys - Study and teaching (Elementary);Space sciences - Experiments;Space flight,Toys in space : exploring science with the astronauts,
TL 860 .T69 S86 1997,5920,"Sumners, Carolyn","Sumners, Carolyn",5920,Monograph,Learning Commons,Activity,,,,,1 v. (varous pagings) : ill. ; 28 cm.,,text,Learning Commons,0070694893 (pbk.),9.78E+12,70694893,TL 860 .T69 S86 1997,97012351,New York,c1997,1997,McGraw-Hill,Teaching science with toys; ,Available,Toys - Experiments;Weightlessness - Experiments;Space shuttles - Experiments;Toys - Study and teaching (Elementary);Space sciences - Experiments;Space flight,Toys in space : exploring science with the astronauts,
TL 860 .T69 S86 1997,6978,"Sumners, Carolyn","Sumners, Carolyn",6978,Monograph,Learning Commons,Activity,,,,,1 v. (varous pagings) : ill. ; 28 cm.,,text,Learning Commons,0070694893 (pbk.),9.78E+12,70694893,TL 860 .T69 S86 1997,97012351,New York,c1997,1997,McGraw-Hill,Teaching science with toys; ,Available,Toys - Experiments;Weightlessness - Experiments;Space shuttles - Experiments;Toys - Study and teaching (Elementary);Space sciences - Experiments;Space flight,Toys in space : exploring science with the astronauts,
TL 860 .T69 S86 1994,4117,"Sumners, Carolyn","Sumners, Carolyn",3351,Monograph,Learning Commons,Act-nonc,,,,,"xvi, 141 p. : ill. ; 25 cm.",,text,,0830645330 :,9.78E+12,830645330,TL 860 .T69 S86 1994,93021036,"Blue Ridge Summit, PA",c1994,1994,TAB Books,,Available,Weightlessness - Experiments;Toys - Study and teaching (Elementary);Space sciences - Experiments;Toys - Experiments;Space shuttles - Experiments;Space flight,TOYS in space : exploring science with the astronauts,
TL 860 .T69 S86 1994,3073,"Sumners, Carolyn","Sumners, Carolyn",3073,Monograph,Learning Commons,Activity,,,,,"xvi, 141 p. : ill. ; 25 cm.",,text,Learning Commons,0830645330 :,9.78E+12,830645330,TL 860 .T69 S86 1994,93021036,"Blue Ridge Summit, PA",c1994,1994,TAB Books,,Available,Weightlessness - Experiments;Toys - Study and teaching (Elementary);Space sciences - Experiments;Toys - Experiments;Space shuttles - Experiments;Space flight,TOYS in space : exploring science with the astronauts,
QD 21 .T7 1991,5351,"McGinty, Derek","McGinty, Derek;Kessler, James H;Miller, Gordon",4961,Video,Learning Commons,General,,American Chemical Society. Division of Chemical Education,,,"1 videocassette (18 min.) : sd., col. with b&w sequences ; 1/2 in",,VHS,,,,,540.8996,,"Washington, DC.",c1991,1991,American Chemical Society,,Available,Afro-American scientists;Afro-American chemists,Tracing the path : African American contributions to chemistry in the life sciences,African-American contributions to chemistry in the life sciences.
QL 768 .T73 1968,5920,"Webster, David","Webster, David",8582,Monograph,Learning Commons,Activity,,Elementary Science Study (Education Development Center),,,44 p. : ill. ; 21 x 28 cm.,Trial teaching ed.,textbook,,,,,QL 768 .T73 1968,,"Newton, MA",1968,1968,Elementary Science Study of Education Development Center,Elementary science study; ,Available,"Education, Preschool - Experiments;Animal tracks - Study and teaching (Elementary)",Track picture book,
QH 54.5 .T73 1995,6273,Docents of Nursery Nature Walks,,8744,Monograph,Learning Commons,Activity,,Docents of Nursery Nature Walks,,,111 p. : ill. ; 28 cm.,3rd ed.,text,,0963275321 (softcover) :,9.78E+12,963275321,,,"Santa Monica, CA",1995,1995,Nursery Nature Walks,,Available,"Nature study - Activity programs;Outdoor recreation for children;Natural history - Study and teaching (Early childhood);Nature - Experiments;Education, Preschool - Experiments;Environmental education","Trails, tails & tidepools in pails : over 100 fun and easy nature activities for families and teachers to share with babies and young children","Trails, tails, and tidepools in pails"
TJ 223 .T7 A53 1985,1870,"Andrews, Michael J","Andrews, Michael J",2168,Monograph,Learning Commons,Activity,,,,,"viii, 131 p. : ill. ; 22 cm.",1st ed.,text,,083060992X :,9.78E+12,083060992X,TJ 223 .T7 A53 1985,85022163,"Blue Ridge Summit, PA",c1985,1985,TAB Books,,Available,Transducers - Amateurs' manuals,The transducer project book,
LB 3060.37 .M27 2000,7335,"Marzano, Robert J","Marzano, Robert J",12576,Monograph,Learning Commons,General,,,,51:11.4,"viii, 147 p. : ill. ; 25 cm.",,text,TI Classroom,0871203839 (alk. paper),9.78E+12,871203839,LB 3060.37 .M27 2000,9790,"Alexandria, VA",c2000,2000,Association for Supervision and Curriculum Development,,Available,Grading and marking (Students) - United States;School reports - United States;Educational tests and measurements,Transforming classroom grading,
QB 509 .S57 2004,8575,"Sheehan, William","Sheehan, William;Westfall, John Edward",17461,Monograph,Learning Commons,General,,,,,"407 p. : ill., maps ; 24 cm.",,text,,1591021758,9.78E+12,1591021758,QB 509 .S57 2004,2003022420,"Amherst, N.Y.",2004,2004,Prometheus Books,,Available,Venus (Planet) - Transits;Venus (Planet),The transits of Venus,
QA 135.5 .K665 1997,4450,"Hosoume, Kimi","Hosoume, Kimi;Kopp, Jaine",3541,Monograph,Learning Commons,Act-nonc,,GEMS (Project);Lawrence Hall of Science,,,"x, 91 p. : ill. ; 28 cm.",,text,,912511362,9.78E+12,912511362,QA135.5 .K665 1997,,"Berkeley, Calif.",c1997,1997,"Great Explorations in Math and Science (GEMS), Lawrence Hall of Science, University of California at Berkeley",Great explorations in math and science (GEMS); ,Available,Mathematics - Study and teaching (Elementary);Discriminant analysis - Study and teaching (Elementary);Collectors and collecting,Treasure boxes : teacher's guide,
QA 135.5 .K665 1997,3540,"Hosoume, Kimi","Hosoume, Kimi;Kopp, Jaine",3540,Monograph,Learning Commons,Activity,,GEMS (Project);Lawrence Hall of Science,,,"x, 91 p. : ill. ; 28 cm.",,text,Learning Commons,912511362,9.78E+12,912511362,QA135.5 .K665 1997,,"Berkeley, Calif.",c1997,1997,"Great Explorations in Math and Science (GEMS), Lawrence Hall of Science, University of California at Berkeley",Great explorations in math and science (GEMS); ,Available,Mathematics - Study and teaching (Elementary);Discriminant analysis - Study and teaching (Elementary);Collectors and collecting,Treasure boxes : teacher's guide,
QC 518 .M32 1954,3149,"Maxwell, James Clerk","Maxwell, James Clerk",3149,Monograph,Learning Commons,General,,,,,2 v. : ill. ; 21 cm.,Unabridged 3d ed.,text,Learning Commons,486606368,9.78E+12,486606368,,,New York,1954,1954,Dover Publications,,Available,Electricity;Magnetism,A treatise on electricity and magnetism,
QC 518 .M32 1954,2873,"Maxwell, James Clerk","Maxwell, James Clerk",2599,Monograph,Learning Commons,General,,,,,2 v. : ill. ; 21 cm.,Unabridged 3d ed.,text,,486606368,9.78E+12,486606368,,,New York,1954,1954,Dover Publications,,Available,Electricity;Magnetism,A treatise on electricity and magnetism,
QL 756 .E34z 1998,5869,"Kopp, Jaine","Kopp, Jaine;Echols, Jean C",7703,Monograph,Learning Commons,Act-nonc,,PEACHES (Project);GEMS (Project),,,"88 p., [4] folded leaves : ill. ; 28 cm.",,text,,924886048,9.78E+12,924886048,QL 756 .E34z 1998,,"Berkeley, CA",c1998,1998,"Great Explorations in Math and Science (GEMS), Lawrence Hall of Science, University of California at Berkeley",Great explorations in math and science (GEMS); ,Available,"Animals - Habitations - Experiments;Creative activities and seat work;Animals - Habitations - Juvenile literature;Education, Preschool - Experiments",Tree homes : teacher's guide,
QL 756 .E34z 1998,7698,"Kopp, Jaine","Kopp, Jaine;Echols, Jean C",7698,Monograph,Learning Commons,Activity,,PEACHES (Project);GEMS (Project),,,"88 p., [4] folded leaves : ill. ; 28 cm.",,text,Learning Commons,924886048,9.78E+12,924886048,QL 756 .E34z 1998,,"Berkeley, CA",c1998,1998,"Great Explorations in Math and Science (GEMS), Lawrence Hall of Science, University of California at Berkeley",Great explorations in math and science (GEMS); ,Available,"Animals - Habitations - Experiments;Creative activities and seat work;Animals - Habitations - Juvenile literature;Education, Preschool - Experiments",Tree homes : teacher's guide,
QK 473.8 .B53 2005,19429,"Black, Kara","Black, Kara",19429,Monograph,Learning Commons,General,,,,,24 p. : col. ill. ; 23 cm.,,text,Learning Commons,,,,,,"Glenview, Ill.",[2005],2005,Pearson Education,,Available,Plants - Juvenile literature;Trees - Juvenile literature;Seasons - Juvenile literature;Simple vocabulary for English Language Learners,Tree life,
QH 31 .D2 S57 2003,8503,"Sís, Peter","Sís, Peter",17314,Monograph,Learning Commons,General,,,,,[34] p. : col. ill. ; 31 cm.,1st ed.,text,,374456283,9.78E+12,374456283,QH31.D2 S57 2003,2002040706,New York,2003,2003,"Farrar, Straus and Giroux",,Available,"Darwin, Charles, 1809-1882 - Juvenile literature;Naturalists;Darwin, Charles, 1809-1882","The tree of life : a book depicting the life of Charles Darwin, naturalist, geologist & thinker",
LB 1532 .T73 C532 1992,5577,"Clark, Rosemary","Clark, Rosemary;Walters, Peter",7280,Monograph,Learning Commons,General,,,,,48 p. : ill. (some col.) ; 30 cm.,,text,,1857410955,9.78E+12,1857410955,,,"Crediton, Devon : Don Mills, Ont.",1992,1992,Southgate;;distributed in North America by The Green Brick Road,,Available,Trees - Study and teaching,Trees in the school grounds : learning through landscapes,
LB 1532 .T73 C532 1992,7281,"Clark, Rosemary","Clark, Rosemary;Walters, Peter",7281,Monograph,Learning Commons,Act-nonc,,,,,48 p. : ill. (some col.) ; 30 cm.,,text,Learning Commons,1857410955,9.78E+12,1857410955,,,"Crediton, Devon : Don Mills, Ont.",1992,1992,Southgate;;distributed in North America by The Green Brick Road,,Available,Trees - Study and teaching,Trees in the school grounds : learning through landscapes,
QK 484 .C2 M28 1973,8289,"McClintock, Elizabeth May","McClintock, Elizabeth May;Moore, Virginia",15404,Monograph,Learning Commons,General,,,,,"v, 56 p. : ill., maps ; 21 cm.",4th ed.,text,,,,,,,"San Francisco, Calif.",1973,1973,California Academy of Sciences,Miscellaneous paper / California Academy of Sciences ;; no. 1,Available,"Trees - California - Golden Gate Park (San Francisco);Trees - Identification;Golden Gate Park (San Francisco, Calif.)","Trees of the Panhandle, Golden Gate Park, San Francisco",
QA 482 .R67 1994,10645,"Ross, Catherine Sheldrick","Ross, Catherine Sheldrick;Slavin, Bill",10645,Monograph,Learning Commons,Act-nonc,,,,,64 p. : col. ill. ; 25 cm.,,text,Learning Commons,1550741942 :,9.78E+12,1550741942,QA 482 .R67 1994,94931173,Toronto,1994,1994,Kids Can Press,,Non-Circulating,Triangle - Juvenile literature;Triangle - Experiments - Juvenile literature,"Triangles : shapes in math, science and nature",
QA 482 .R67 1994,6263,"Ross, Catherine Sheldrick","Ross, Catherine Sheldrick;Slavin, Bill",6257,Monograph,Learning Commons,Activity,,,,,64 p. : col. ill. ; 25 cm.,,text,,1550741942 :,9.78E+12,1550741942,QA 482 .R67 1994,94931173,Toronto,1994,1994,Kids Can Press,,Available,Triangle - Juvenile literature;Triangle - Experiments - Juvenile literature,"Triangles : shapes in math, science and nature",
LB 1084 .G52 1995,6597,"Gibbs, Jeanne","Gibbs, Jeanne",9011,Monograph,Learning Commons,Activity,,,,42:47.1,432 p. : ill. ; 28 cm.,,text,,0932762093 :,9.78E+12,932762093,371.3 Gib,,"Sausalito, CA",c1995,1995,Center Source Systems,,Available,"Learning, Psychology of;Social learning;Cooperation;Self-esteem;Classroom environment;Academic achievement;Group work in education;Multicultural education;Multicultural education - Experiments;Cooperative learning experiences",Tribes : a new way of learning and being together,
GR 524 .H93 1998,5518,"Hyde, Lewis","Hyde, Lewis",10829,Monograph,Learning Commons,General,,,,,"x, 417 p. : ill. ; 24 cm.",1st ed.,text,,0374279284 (alk. paper),9.78E+12,374279284,GR 524 .H93 1998,97018032,New York,1998,1998,"Farrar, Straus and Giroux",,Available,Trickster;Mythology;Arts,"Trickster makes this world : mischief, myth, and art",
