LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
GV 426 .D43 1971,5840,"D'Eugenio, Terrance","D'Eugenio, Terrance",8588,Monograph,Learning Commons,Activity,,Advisory for Open Education,,,31 p. illus. 22 x 28 cm.,,text,,,,,,,"Cambridge, Mass.,",[c1971],1971,Early Childhood Education Study of Advisory for Open Education,,Available,"Playgrounds - Equipment and supplies;Tires, Rubber;Education, Preschool - Experiments",Building with tires.,
QL 548 .M57 1987,8781,"Zim, Herbert Spencer","Zim, Herbert Spencer;Mitchell, Robert T",18639,Monograph,Learning Commons,General,,,,,160 p. : col. ill. ; 16 cm.,Rev. ed.,text,,0307240525 (pbk.) :,9.78E+12,307240525,QL 548 .M57 1987,87171378,New York,1987,1987,Golden Press,A Golden guide; ,Available,Insects - North America - Identification;Moths - North America - Identification;Insects - Identification;Caterpillars - North America - Identification;Butterflies - North America - Identification,Butterflies and moths : a guide to the more common American species,
QL 544.2 .C37 1992,767,"Greenaway, Frank","Greenaway, Frank;Carter, David J",649,Monograph,Learning Commons,General,,,,,"304 p. : col. ill., col. maps ; 22 cm.",1st American ed.,text,,1564580342 (HC):,9.78E+12,1564580342,QL 544.2 .C37 1992,91058221,New York,1992,1992,Dorling Kindersley,Eyewitness handbooks 3; ,Available,Moths - Identification;Butterflies - Identification - Juvenile literature,Butterflies and moths,
QL 544 .T45 1985,8152,"Tekulsky, Mathew","Tekulsky, Mathew",14819,Monograph,Learning Commons,General,,,,,"vi, 144 p. : ill. ; 24 cm.",,text,,0916782700 :,9.78E+12,916782700,QL 544 .T45 1985,85008609,"Boston, Mass.",c1985,1985,Harvard University Press,,Available,Butterfly gardens;Butterfly attracting;Wildlife attracting;Gardening;Butterfly gardening;Butterflies,The butterfly garden,
QL 568 .A6 E34 1987,1585,"Echols, Jean C","Echols, Jean C",638,Monograph,Learning Commons,Act-nonc,,Lawrence Hall of Science,,,"[viii], 97 p., [11] leaves : ill. ; 28 cm.",,text,TI Classroom,,,,QL 568 .A6 E34 1987,,"Berkeley, CA",c1987,1987,"Lawrence Hall of Science, University of California",,Non-Circulating,"Bees - Study and teaching (Elementary);Honeybee;Education, Preschool - Experiments",Buzzing a hive : teacher's guide,
QL 568 .A6 E34 1987,640,"Echols, Jean C","Echols, Jean C",640,Monograph,Learning Commons,Activity,,Lawrence Hall of Science,,,"[viii], 97 p., [11] leaves : ill. ; 28 cm.",,text,Learning Commons,,,,QL 568 .A6 E34 1987,,"Berkeley, CA",c1987,1987,"Lawrence Hall of Science, University of California",,Available,"Bees - Study and teaching (Elementary);Honeybee;Education, Preschool - Experiments",Buzzing a hive : teacher's guide,
TR 721 .N45 1993,1336,"Neill, William","Neill, William;Murphy, Pat",1336,Monograph,Learning Commons,Gen-nonc,,"Exploratorium (San Francisco, Calif.)",,,119 p. : ill. (some col.) ; 26 cm.,,text,Learning Commons,0811804445 :,9.78E+12,811804445,TR 721 .N45 1993,92041313,San Francisco,c1993,1993,Chronicle Books,,Non-Circulating,Nature photography;Morphology - Pictorial works;Nature (Aesthetics);Mathematics in nature,By nature's design,
TR 721 .N45 1993,11674,"Neill, William","Neill, William;Murphy, Pat",11674,Monograph,Learning Commons,General,,"Exploratorium (San Francisco, Calif.)",,,119 p. : ill. (some col.) ; 26 cm.,,text,Learning Commons,0811804445 :,9.78E+12,811804445,TR 721 .N45 1993,92041313,San Francisco,c1993,1993,Chronicle Books,,Available,Nature photography;Morphology - Pictorial works;Nature (Aesthetics);Mathematics in nature,By nature's design,
TJ 211.4 .O56 1998,6576,"Onn, Aidan Lawrence","Onn, Aidan Lawrence;Alexander, Gary",6576,Monograph,Learning Commons,Activity,,Cabaret Mechanical Theatre,,28:12.9,124 p. : ill. ; 22 cm.,,text,Learning Commons,952872900,9.78E+12,952872900,TJ 211.4 .O56 1998,,Covent Garden,1998,1998,Cabaret Mechanical Theatre,,Available,Mechanical toys - Design and construction;Robots - Design and construction;Kinetic sculpture - Design and construction,Cabaret Mechanical movement : understanding movement and making automata,
TJ 211.4 .O56 1998,6590,"Onn, Aidan Lawrence","Onn, Aidan Lawrence;Alexander, Gary",6590,Monograph,Learning Commons,Act-nonc,,Cabaret Mechanical Theatre,,,124 p. : ill. ; 22 cm.,,text,Learning Commons,952872900,9.78E+12,952872900,TJ 211.4 .O56 1998,,Covent Garden,1998,1998,Cabaret Mechanical Theatre,,Available,Mechanical toys - Design and construction;Robots - Design and construction;Kinetic sculpture - Design and construction,Cabaret Mechanical movement : understanding movement and making automata,
