LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
TD 220 .C58 2001b,019375,"Raphael, Max","Raphael, Max;Nash, Bruce M;Peabody, Fred",019375,DVD,Learning Commons,General,,New Video Group;History Channel (Firm);A&E Home Video (Firm);Actuality Productions,,,"1 videodisc (ca. 50 min.) : sd., col. ; 4 3/4 in.",,DVD/videorecording,Learning Commons,,,,TD 220 .C58 2001b,,New York,2001,2001,A & E Home Video ,,Available,City planning;Waterworks;Water;Cities and towns - Growth;Civil engineering;Environmental engineering;Documentary television programs,Modern marvels. City Water,Ice.;Modern marvels
TD 220 .C58 2001,019714,"Peabody, Fred","Peabody, Fred;Genin, Beate;Nash, Bruce M;Raphael, Max;Cambou, Don",019714,DVD,Learning Commons,General,,History Channel (Firm);New Video Group;A&E Home Video (Firm);Actuality Productions,,,"1 videodisc (ca. 50 min.) : sd., col. ; 4 3/4 in.",,DVD/videorecording,Learning Commons,,,,TD 220 .C58 2001,,New York,2001,2001,A & E Home Video ,,Available,City planning;Cities and towns - Growth;Sewage disposal in the ocean;Sewage;Documentary television programs;Water;Civil engineering;Waterworks;Environmental engineering;Water - Pollution,Modern marvels. Sewers,Sewers..;Modern marvels
QH 87.3 .M38 2008,020051,"McTamaney, Fran","McTamaney, Fran;Moore, Genie;Spakoff, Sandy;Hutzel, Amy",020051,Monograph,Learning Commons,Activity,,Don Edwards San Francisco Bay National Wildlife Refuge,,,p. 336: ill. ; 28 cm.,"Sixth edition, Fall 2008. Looseleaf; includes copy masters for activities.",text,Learning Commons,,,,,,"Alviso, Calif.",2008,2008,Don Edwards San Francisco Bay National Wildlife Refuge,,Available,Water resources;Watershed management - California;Ecology - California - San Francisco Bay;Wetland ecology - Activity programs;Estuaries;Aquatic biology - California - San Francisco Bay Region. - California;San Francisco Bay Area (Calif.) - Description and travel,Salt marsh manual : an educator's guide for the wetland roundtrip fied trip,
TD 224 .S42 2000,018900,Save San Francisco Bay Association (Save the Bay),,018900,Monograph,Learning Commons,Activity,,Save San Francisco Bay Association (Save the Bay),,2013-08-01 12:57:38.473,300 p. + 37 p. appendices : ill. ; 30 cm.,Looseleaf; includes copy masters for activities.,text,Learning Commons,,,,,,"Oakland, Calif.?",2000,2000,Save The Bay,,Available,Water resources;Watershed management - California;Ecology - California - San Francisco Bay;Wetland ecology - Activity programs;San Francisco Bay Area (Calif.) - Description and travel,San Francisco Bay Watershed Curriculum ; a collection of activities and action projects about the .San Francisco Bay Watershed for middle and high school students,
TD 224 .S42 2000,018769,Save San Francisco Bay Association (Save the Bay),,018769,Monograph,Learning Commons,Activity,,Save San Francisco Bay Association (Save the Bay),,,300 p. + 37 p. appendices : ill. ; 30 cm.,Looseleaf; includes copy masters for activities.,text,Learning Commons,,,,,,"Oakland, Calif.?",2000,2000,Save The Bay,,Available,Water resources;Watershed management - California;Ecology - California - San Francisco Bay;Wetland ecology - Activity programs;San Francisco Bay Area (Calif.) - Description and travel,San Francisco Bay Watershed Curriculum ; a collection of activities and action projects about the .San Francisco Bay Watershed for middle and high school students,
TD 225 .S25 H26x 2002,8333,"Hanson, Warren D","Hanson, Warren D;Wurm, Theadore;Leonard, James H",016031,Monograph,Learning Commons,General,,,,2013-07-11 13:40:35.117,"60 p. : ill., map, ports. ; 30 cm.",,text,,,,,,,San Francisco,2002,2002,San Francisco Public Utility Commission,,Available,Hetch Hetchy Railroad;Water-supply engineering;Water resources development - United States;Water-supply - West (U.S.) - History;Hetch Hetchy Valley (Calif.);San Francisco (Calif.) - History,San Francisco Water and Power : a history of the Muncipal Water Department and Hetch Hetchy System,
GE 195.7 .S684 1996,6169,"Cole-Misch, Sally","Cole-Misch, Sally;Price, Larry;Schmidt, David",007854,Monograph,Learning Commons,Activity,,Global Rivers Environmental Education Network,,2013-08-01 12:57:22.333,"vii, 202 p. : ill., maps ; 28 cm.",,text,,0787223727,9780787223724,0787223727,GE 195.7 .S684 1996,96229750,"Dubuque, Iowa",c1996,1996,Kendall/Hunt Pub. Co.,,Available,Environmental responsibility - Study and teaching;Watersheds - Study and teaching;Environmental protection - Citizen participation - Study and teaching,Sourcebook for watershed education,
GE 195.7 .S684 1996,007855,"Cole-Misch, Sally","Cole-Misch, Sally;Price, Larry;Schmidt, David",007855,Monograph,Learning Commons,Act-nonc,,Global Rivers Environmental Education Network,,,"vii, 202 p. : ill., maps ; 28 cm.",,text,Learning Commons,0787223727,9780787223724,0787223727,GE 195.7 .S684 1996,96229750,"Dubuque, Iowa",c1996,1996,Kendall/Hunt Pub. Co.,,Available,Environmental responsibility - Study and teaching;Watersheds - Study and teaching;Environmental protection - Citizen participation - Study and teaching,Sourcebook for watershed education,
GB 671 .L39 1974,4855,"Leopold, Luna Bergere","Leopold, Luna Bergere",004123,Monograph,Learning Commons,General,,,,,"xvi, 172 p. illus. 24 cm.",,text,TI Classroom,0716702649,9780716702641,0716702649,GB 671 .L39 1974,73019844,"San Francisco,",[1974],1974,W. H. Freeman,,Lost,Water,Water; a primer,
TD 370 .W383 1995,5094,Globe Fearon Educational Publisher,,004764,Monograph,Learning Commons,Activity,,Globe Fearon Educational Publisher,,,"iv, 92 p. : ill. (some col.), map ; 26 cm.",,text,,0835907457,9780835907453,0835907457,TD 370 .W383 1995,94224633,"Paramus, N.J.",c1995,1995,Fearon Teacher Aids,"Environmental science (Paramus, N.J.); ;Environmental science; ",Available,Water-supply - Juvenile literature;Air - Pollution;Air - Pollution - Juvenile literature;Environmental sciences;Water-supply,Water and air.,
